Flash Device Information:

      CFI Compliant: no
        Command Set: Generic SPI Flash
   Device/Bus Width: x16
 Little Word Endian: no
    Fast Bulk Erase: no
    Multibyte Write: 256 bytes max
  Phys base address: 0xbadf1a5
 Uncached Virt addr: 0x1badf1a5
   Cached Virt addr: 0x2badf1a5
   Number of blocks: 257
         Total size: 16777216 bytes, 16 Mbytes
       Current mode: Read Array
        Device Size: 16 MB, Write buffer: 256, Flags: 0

      Size  Device      Device     Region
Block  kB   Address     Offset     Offset   Region Allocation
----- ---- ---------- ----------- --------- -----------------
    0   32 0x1badf1a5           0         0 Bootloader
    1   32 0x1bae71a5      0x8000    0x8000 Bootloader (65536 bytes)
    2   64 0x1baef1a5     0x10000         0 Permanent NonVol
    3   64 0x1baff1a5     0x20000   0x10000 Permanent NonVol (131072 bytes)
    4   64 0x1bb0f1a5     0x30000         0 Image1
    5   64 0x1bb1f1a5     0x40000   0x10000 Image1
    6   64 0x1bb2f1a5     0x50000   0x20000 Image1
    7   64 0x1bb3f1a5     0x60000   0x30000 Image1
    8   64 0x1bb4f1a5     0x70000   0x40000 Image1
    9   64 0x1bb5f1a5     0x80000   0x50000 Image1
   10   64 0x1bb6f1a5     0x90000   0x60000 Image1
   11   64 0x1bb7f1a5     0xa0000   0x70000 Image1
   12   64 0x1bb8f1a5     0xb0000   0x80000 Image1
   13   64 0x1bb9f1a5     0xc0000   0x90000 Image1
   14   64 0x1bbaf1a5     0xd0000   0xa0000 Image1
   15   64 0x1bbbf1a5     0xe0000   0xb0000 Image1
   16   64 0x1bbcf1a5     0xf0000   0xc0000 Image1
   17   64 0x1bbdf1a5    0x100000   0xd0000 Image1
   18   64 0x1bbef1a5    0x110000   0xe0000 Image1
   19   64 0x1bbff1a5    0x120000   0xf0000 Image1
   20   64 0x1bc0f1a5    0x130000  0x100000 Image1
   21   64 0x1bc1f1a5    0x140000  0x110000 Image1
   22   64 0x1bc2f1a5    0x150000  0x120000 Image1
   23   64 0x1bc3f1a5    0x160000  0x130000 Image1
   24   64 0x1bc4f1a5    0x170000  0x140000 Image1
   25   64 0x1bc5f1a5    0x180000  0x150000 Image1
   26   64 0x1bc6f1a5    0x190000  0x160000 Image1
   27   64 0x1bc7f1a5    0x1a0000  0x170000 Image1
   28   64 0x1bc8f1a5    0x1b0000  0x180000 Image1
   29   64 0x1bc9f1a5    0x1c0000  0x190000 Image1
   30   64 0x1bcaf1a5    0x1d0000  0x1a0000 Image1
   31   64 0x1bcbf1a5    0x1e0000  0x1b0000 Image1
   32   64 0x1bccf1a5    0x1f0000  0x1c0000 Image1
   33   64 0x1bcdf1a5    0x200000  0x1d0000 Image1
   34   64 0x1bcef1a5    0x210000  0x1e0000 Image1
   35   64 0x1bcff1a5    0x220000  0x1f0000 Image1
   36   64 0x1bd0f1a5    0x230000  0x200000 Image1
   37   64 0x1bd1f1a5    0x240000  0x210000 Image1
   38   64 0x1bd2f1a5    0x250000  0x220000 Image1
   39   64 0x1bd3f1a5    0x260000  0x230000 Image1
   40   64 0x1bd4f1a5    0x270000  0x240000 Image1
   41   64 0x1bd5f1a5    0x280000  0x250000 Image1
   42   64 0x1bd6f1a5    0x290000  0x260000 Image1
   43   64 0x1bd7f1a5    0x2a0000  0x270000 Image1
   44   64 0x1bd8f1a5    0x2b0000  0x280000 Image1
   45   64 0x1bd9f1a5    0x2c0000  0x290000 Image1
   46   64 0x1bdaf1a5    0x2d0000  0x2a0000 Image1
   47   64 0x1bdbf1a5    0x2e0000  0x2b0000 Image1
   48   64 0x1bdcf1a5    0x2f0000  0x2c0000 Image1
   49   64 0x1bddf1a5    0x300000  0x2d0000 Image1
   50   64 0x1bdef1a5    0x310000  0x2e0000 Image1
   51   64 0x1bdff1a5    0x320000  0x2f0000 Image1
   52   64 0x1be0f1a5    0x330000  0x300000 Image1
   53   64 0x1be1f1a5    0x340000  0x310000 Image1
   54   64 0x1be2f1a5    0x350000  0x320000 Image1
   55   64 0x1be3f1a5    0x360000  0x330000 Image1
   56   64 0x1be4f1a5    0x370000  0x340000 Image1
   57   64 0x1be5f1a5    0x380000  0x350000 Image1
   58   64 0x1be6f1a5    0x390000  0x360000 Image1
   59   64 0x1be7f1a5    0x3a0000  0x370000 Image1
   60   64 0x1be8f1a5    0x3b0000  0x380000 Image1
   61   64 0x1be9f1a5    0x3c0000  0x390000 Image1
   62   64 0x1beaf1a5    0x3d0000  0x3a0000 Image1
   63   64 0x1bebf1a5    0x3e0000  0x3b0000 Image1
   64   64 0x1becf1a5    0x3f0000  0x3c0000 Image1
   65   64 0x1bedf1a5    0x400000  0x3d0000 Image1
   66   64 0x1beef1a5    0x410000  0x3e0000 Image1
   67   64 0x1beff1a5    0x420000  0x3f0000 Image1
   68   64 0x1bf0f1a5    0x430000  0x400000 Image1
   69   64 0x1bf1f1a5    0x440000  0x410000 Image1
   70   64 0x1bf2f1a5    0x450000  0x420000 Image1
   71   64 0x1bf3f1a5    0x460000  0x430000 Image1
   72   64 0x1bf4f1a5    0x470000  0x440000 Image1
   73   64 0x1bf5f1a5    0x480000  0x450000 Image1
   74   64 0x1bf6f1a5    0x490000  0x460000 Image1
   75   64 0x1bf7f1a5    0x4a0000  0x470000 Image1
   76   64 0x1bf8f1a5    0x4b0000  0x480000 Image1
   77   64 0x1bf9f1a5    0x4c0000  0x490000 Image1
   78   64 0x1bfaf1a5    0x4d0000  0x4a0000 Image1
   79   64 0x1bfbf1a5    0x4e0000  0x4b0000 Image1
   80   64 0x1bfcf1a5    0x4f0000  0x4c0000 Image1
   81   64 0x1bfdf1a5    0x500000  0x4d0000 Image1
   82   64 0x1bfef1a5    0x510000  0x4e0000 Image1
   83   64 0x1bfff1a5    0x520000  0x4f0000 Image1
   84   64 0x1c00f1a5    0x530000  0x500000 Image1
   85   64 0x1c01f1a5    0x540000  0x510000 Image1
   86   64 0x1c02f1a5    0x550000  0x520000 Image1
   87   64 0x1c03f1a5    0x560000  0x530000 Image1
   88   64 0x1c04f1a5    0x570000  0x540000 Image1
   89   64 0x1c05f1a5    0x580000  0x550000 Image1
   90   64 0x1c06f1a5    0x590000  0x560000 Image1
   91   64 0x1c07f1a5    0x5a0000  0x570000 Image1
   92   64 0x1c08f1a5    0x5b0000  0x580000 Image1
   93   64 0x1c09f1a5    0x5c0000  0x590000 Image1
   94   64 0x1c0af1a5    0x5d0000  0x5a0000 Image1
   95   64 0x1c0bf1a5    0x5e0000  0x5b0000 Image1
   96   64 0x1c0cf1a5    0x5f0000  0x5c0000 Image1
   97   64 0x1c0df1a5    0x600000  0x5d0000 Image1
   98   64 0x1c0ef1a5    0x610000  0x5e0000 Image1
   99   64 0x1c0ff1a5    0x620000  0x5f0000 Image1
  100   64 0x1c10f1a5    0x630000  0x600000 Image1
  101   64 0x1c11f1a5    0x640000  0x610000 Image1
  102   64 0x1c12f1a5    0x650000  0x620000 Image1
  103   64 0x1c13f1a5    0x660000  0x630000 Image1
  104   64 0x1c14f1a5    0x670000  0x640000 Image1
  105   64 0x1c15f1a5    0x680000  0x650000 Image1
  106   64 0x1c16f1a5    0x690000  0x660000 Image1
  107   64 0x1c17f1a5    0x6a0000  0x670000 Image1
  108   64 0x1c18f1a5    0x6b0000  0x680000 Image1
  109   64 0x1c19f1a5    0x6c0000  0x690000 Image1
  110   64 0x1c1af1a5    0x6d0000  0x6a0000 Image1
  111   64 0x1c1bf1a5    0x6e0000  0x6b0000 Image1
  112   64 0x1c1cf1a5    0x6f0000  0x6c0000 Image1
  113   64 0x1c1df1a5    0x700000  0x6d0000 Image1
  114   64 0x1c1ef1a5    0x710000  0x6e0000 Image1
  115   64 0x1c1ff1a5    0x720000  0x6f0000 Image1
  116   64 0x1c20f1a5    0x730000  0x700000 Image1
  117   64 0x1c21f1a5    0x740000  0x710000 Image1
  118   64 0x1c22f1a5    0x750000  0x720000 Image1
  119   64 0x1c23f1a5    0x760000  0x730000 Image1
  120   64 0x1c24f1a5    0x770000  0x740000 Image1
  121   64 0x1c25f1a5    0x780000  0x750000 Image1
  122   64 0x1c26f1a5    0x790000  0x760000 Image1
  123   64 0x1c27f1a5    0x7a0000  0x770000 Image1
  124   64 0x1c28f1a5    0x7b0000  0x780000 Image1
  125   64 0x1c29f1a5    0x7c0000  0x790000 Image1
  126   64 0x1c2af1a5    0x7d0000  0x7a0000 Image1
  127   64 0x1c2bf1a5    0x7e0000  0x7b0000 Image1
  128   64 0x1c2cf1a5    0x7f0000  0x7c0000 Image1 (8192000 bytes)
  129   64 0x1c2df1a5    0x800000         0 Image2
  130   64 0x1c2ef1a5    0x810000   0x10000 Image2
  131   64 0x1c2ff1a5    0x820000   0x20000 Image2
  132   64 0x1c30f1a5    0x830000   0x30000 Image2
  133   64 0x1c31f1a5    0x840000   0x40000 Image2
  134   64 0x1c32f1a5    0x850000   0x50000 Image2
  135   64 0x1c33f1a5    0x860000   0x60000 Image2
  136   64 0x1c34f1a5    0x870000   0x70000 Image2
  137   64 0x1c35f1a5    0x880000   0x80000 Image2
  138   64 0x1c36f1a5    0x890000   0x90000 Image2
  139   64 0x1c37f1a5    0x8a0000   0xa0000 Image2
  140   64 0x1c38f1a5    0x8b0000   0xb0000 Image2
  141   64 0x1c39f1a5    0x8c0000   0xc0000 Image2
  142   64 0x1c3af1a5    0x8d0000   0xd0000 Image2
  143   64 0x1c3bf1a5    0x8e0000   0xe0000 Image2
  144   64 0x1c3cf1a5    0x8f0000   0xf0000 Image2
  145   64 0x1c3df1a5    0x900000  0x100000 Image2
  146   64 0x1c3ef1a5    0x910000  0x110000 Image2
  147   64 0x1c3ff1a5    0x920000  0x120000 Image2
  148   64 0x1c40f1a5    0x930000  0x130000 Image2
  149   64 0x1c41f1a5    0x940000  0x140000 Image2
  150   64 0x1c42f1a5    0x950000  0x150000 Image2
  151   64 0x1c43f1a5    0x960000  0x160000 Image2
  152   64 0x1c44f1a5    0x970000  0x170000 Image2
  153   64 0x1c45f1a5    0x980000  0x180000 Image2
  154   64 0x1c46f1a5    0x990000  0x190000 Image2
  155   64 0x1c47f1a5    0x9a0000  0x1a0000 Image2
  156   64 0x1c48f1a5    0x9b0000  0x1b0000 Image2
  157   64 0x1c49f1a5    0x9c0000  0x1c0000 Image2
  158   64 0x1c4af1a5    0x9d0000  0x1d0000 Image2
  159   64 0x1c4bf1a5    0x9e0000  0x1e0000 Image2
  160   64 0x1c4cf1a5    0x9f0000  0x1f0000 Image2
  161   64 0x1c4df1a5    0xa00000  0x200000 Image2
  162   64 0x1c4ef1a5    0xa10000  0x210000 Image2
  163   64 0x1c4ff1a5    0xa20000  0x220000 Image2
  164   64 0x1c50f1a5    0xa30000  0x230000 Image2
  165   64 0x1c51f1a5    0xa40000  0x240000 Image2
  166   64 0x1c52f1a5    0xa50000  0x250000 Image2
  167   64 0x1c53f1a5    0xa60000  0x260000 Image2
  168   64 0x1c54f1a5    0xa70000  0x270000 Image2
  169   64 0x1c55f1a5    0xa80000  0x280000 Image2
  170   64 0x1c56f1a5    0xa90000  0x290000 Image2
  171   64 0x1c57f1a5    0xaa0000  0x2a0000 Image2
  172   64 0x1c58f1a5    0xab0000  0x2b0000 Image2
  173   64 0x1c59f1a5    0xac0000  0x2c0000 Image2
  174   64 0x1c5af1a5    0xad0000  0x2d0000 Image2
  175   64 0x1c5bf1a5    0xae0000  0x2e0000 Image2
  176   64 0x1c5cf1a5    0xaf0000  0x2f0000 Image2
